"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"New Quality Issue Workflow","Quality Issue","workflow_state",1,0,0,"21577e910f","Pending for confirmation with the Quality Complaint Registration Team","Complaint Registering Team","0","","Pending for confirmation with the Quality Complaint Registration Team",0,"","","257d88341f","Pending for confirmation with the Quality Complaint Registration Team","Approve","Pending for Physical Verification Officer Approval","Complaint Registering Team",1,"doc.type_of_issue"
"","","","","","","bfff35a0ae","Pending for Physical Verification Officer Approval","Physical Verification Officer","0","","Pending for Physical Verification Officer Approval",0,"","","fd69292cd5","Pending for confirmation with the Quality Complaint Registration Team","Reject","Rejected by Quality Complaint Registration Team","Complaint Registering Team",1,"doc.reason_of_rejection"
"","","","","","","31b19bf128","Requested for More Details by Finance Team","Physical Verification Officer","0","","Requested for More Details by Finance Team",0,"","","3d43b521f5","Rejected by Quality Complaint Registration Team","Transfer Ticket as Transit Complaint","Rejected and transferred as Transit Complaint","Complaint Registering Team",1,""
"","","","","","","cac1892e5d","Requested for More Details by Quality Head","Physical Verification Officer","0","","Requested for More Details by Quality Head",0,"","","dc4d32ac29","Pending for Physical Verification Officer Approval","Approve","Pending for Finance Team Approval","Physical Verification Officer",1,""
"","","","","","","e62d5cbd60","Rejected by Quality Complaint Registration Team","Complaint Registering Team","0","","Rejected by Quality Complaint Registration Team",0,"","","7ffd3118b8","Pending for Physical Verification Officer Approval","Reject","Rejected by Physical Verification Officer","Physical Verification Officer",1,"doc.reason_of_rejection"
"","","","","","","cecab48507","Rejected by Physical Verification Officer","Physical Verification Officer","0","","Rejected by Physical Verification Officer",0,"","","9d2ee7b52a","Rejected by Physical Verification Officer","Transfer Ticket as Transit Complaint","Rejected and transferred as Transit Complaint","Physical Verification Officer",1,""
"","","","","","","f5d91057d6","Rejected by Finance Team","Finance Team","0","","Rejected by Finance Team",0,"","","8e76f347db","Requested for More Details by Finance Team","Resend for Finance Team Approval","Resent for Finance Team Approval","Physical Verification Officer",1,""
"","","","","","","e68a51b498","Rejected by Quality Head","Quality Head","0","","Rejected by Quality Head",0,"","","7b04395596","Pending for Finance Team Approval","Approve","Pending for RCA Details","Finance Team",1,"doc.credit_details"
"","","","","","","60d472e7f4","Pending for Finance Team Approval","Finance Team","0","","Pending for Finance Team Approval",0,"","","a183c556e6","Pending for Finance Team Approval","Reject","Rejected by Finance Team","Finance Team",1,"doc.reason_of_rejection"
"","","","","","","6563b502f8","Resent for Finance Team Approval","Finance Team","0","","Resent for Finance Team Approval",0,"","","a8f3e8a7dd","Pending for Finance Team Approval","Request for More Details","Requested for More Details by Finance Team","Finance Team",1,""
"","","","","","","6bd084dbed","Resent for Quality Head Approval","Quality Head","0","","Resent for Quality Head Approval",0,"","","397a8dc421","Resent for Finance Team Approval","Approve","Pending for RCA Details","Finance Team",1,"doc.credit_details"
"","","","","","","6d23458912","Pending for RCA Details","Physical Verification Officer","0","","Pending for RCA Details",0,"","","eb6233ed4e","Resent for Finance Team Approval","Reject","Rejected by Finance Team","Finance Team",1,"doc.reason_of_rejection"
