"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"Lead Workflow","Lead","workflow_state",1,0,0,"a86cd812bf","Pending with Customer Support Team","Customer Support Team","0","","",0,"","","27d07ce7ff","Pending with Customer Support Team","Create Primary Customer","Pending For Primary Customer Additional Details","Customer Support Team",1,"(doc.customer_type == ""Direct Distributor"" or doc.customer_type == ""Super Stockist"") and doc.asm_user"
"","","","","","","11ad34377c","Pending For Primary Customer Additional Details","Customer Support Team","0","","",0,"","","b2ff378c2b","Pending with Customer Support Team","Create Secondary Customer","Pending For Secondary Customer Additional Details","Customer Support Team",1,"doc.customer_type == ""Indirect Distributor"" and doc.asm_user"
"","","","","","","25add045fa","Pending For Secondary Customer Additional Details","Customer Support Team","0","","",0,"","","478357f072","Pending with Customer Support Team","Reject","Lead Rejected","Customer Support Team",1,"doc.reason_for_rejection"
"","","","","","","f28eeb3952","Lead Rejected","Customer Support Team","0","","",0,"","","","","","","","",""
"Secondary Customer Workflow","Secondary Customer Form","workflow_state",1,0,0,"07a4ce2d3a","Pending For Secondary Customer Additional Details","Area Sales Manager","0","","Pending For Secondary Customer Additional Details",0,"","","23ed6c06ae","Pending For Secondary Customer Additional Details","Send For NSM Approval","Pending for NSM Approval","Area Sales Manager",1,"doc.distributor_email_id != None"
"","","","","","","0ade2ee920","Pending For Secondary Customer Additional Details","Regional Sales Manager","0","","Pending For Secondary Customer Additional Details",0,"","","207c903032","Pending For Secondary Customer Additional Details","Send For NSM Approval","Pending for NSM Approval","Regional Sales Manager",1,"doc.distributor_email_id != None"
"","","","","","","a01d4ae251","Pending for NSM Approval","National Sales Manager","0","","Pending for NSM Approval",0,"","","b119248397","Pending For Secondary Customer Additional Details","Reject Customer","Rejected by ASM","Area Sales Manager",1,"doc.reason_of_rejection"
"","","","","","","184e3e924f","Resent for NSM Approval","National Sales Manager","0","","Resent for NSM Approval",0,"","","8cc093713d","Pending For Secondary Customer Additional Details","Reject Customer","Rejected by RSM","Regional Sales Manager",1,"doc.reason_of_rejection"
"","","","","","","a5c9de6236","Pending with Secondary Master Processing","Secondary Customer Master Approver","0","","Pending with Secondary Master Processing",0,"","","408b7e9479","Pending for NSM Approval","Approve Customer","Pending with Secondary Master Processing","National Sales Manager",1,""
"","","","","","","61532167f6","Resent for Secondary Master Processing","Secondary Customer Master Approver","0","","Resent for Secondary Master Processing",0,"","","4faf39f881","Pending for NSM Approval","Reject Customer","Rejected by NSM","National Sales Manager",1,"doc.reason_of_rejection"
"","","","","","","4d21d5b01e","Secondary Customer Approved","Secondary Customer Master Approver","0","","Secondary Customer Approved",0,"","","8508c423bf","Pending for NSM Approval","Request for More Details","Requested for More Details by NSM","National Sales Manager",1,""
"","","","","","","910bfae03c","Rejected by ASM","Administrator","0","","Rejected by ASM",0,"","","8323f6c9fb","Requested for More Details by NSM","Resend for NSM Approval","Resent for NSM Approval","Area Sales Manager",1,""
"","","","","","","ae73c694c4","Rejected by RSM","Administrator","0","","Rejected by RSM",0,"","","967e41046f","Requested for More Details by NSM","Resend for NSM Approval","Resent for NSM Approval","Regional Sales Manager",1,""
"","","","","","","65bab2d7ba","Rejected by NSM","Administrator","0","","Rejected by NSM",0,"","","a4e7a6cd22","Resent for NSM Approval","Approve Customer","Pending with Secondary Master Processing","National Sales Manager",1,""
"","","","","","","b384b4f698","Requested for More Details by NSM","Area Sales Manager","0","","Requested for More Details by NSM",0,"","","1023d8f48a","Resent for NSM Approval","Reject Customer","Rejected by NSM","National Sales Manager",1,"doc.reason_of_rejection"
"","","","","","","acab71e8dd","Requested for More Details by Secondary Master Team","Area Sales Manager","0","","Requested for More Details by Secondary Master Team",0,"","","deb6f3bd19","Resent for NSM Approval","Request for More Details","Requested for More Details by NSM","National Sales Manager",1,""
"","","","","","","","","","","","","","","","8216ce41ec","Pending with Secondary Master Processing","Approve Customer","Secondary Customer Approved","Secondary Customer Master Approver",1,"doc.db_code"
"","","","","","","","","","","","","","","","f25a5e525e","Pending with Secondary Master Processing","Request for More Details","Requested for More Details by Secondary Master Team","Secondary Customer Master Approver",1,""
"","","","","","","","","","","","","","","","40b7cb725b","Requested for More Details by Secondary Master Team","Resend for Secondary Master Processing","Resent for Secondary Master Processing","Area Sales Manager",1,""
"","","","","","","","","","","","","","","","575ffe2fb3","Requested for More Details by Secondary Master Team","Resend for Secondary Master Processing","Resent for Secondary Master Processing","Regional Sales Manager",1,""
"","","","","","","","","","","","","","","","3dfbe43042","Resent for Secondary Master Processing","Approve Customer","Secondary Customer Approved","Secondary Customer Master Approver",1,"doc.db_code"
"SS/DP Creation Workflow2","Primary Customer Form","workflow_state",1,0,0,"bc4c18ed70","Pending For Primary Customer Additional Details","Area Sales Manager","0","","Pending For Primary Customer Additional Details",0,"","","9ab7842188","Pending For Primary Customer Additional Details","Send For NSM Approval","Pending for NSM Approval","Area Sales Manager",1,"doc.location != None"
"","","","","","","86ed80bb30","Pending For Primary Customer Additional Details","Regional Sales Manager","0","","Pending For Primary Customer Additional Details",0,"","","1064471405","Pending For Primary Customer Additional Details","Send For NSM Approval","Pending for NSM Approval","Regional Sales Manager",1,"doc.location != None"
"","","","","","","64413e53c2","Pending for NSM Approval","National Sales Manager","0","","Pending for NSM Approval",0,"","","dd24fada0e","Pending For Primary Customer Additional Details","Reject Customer","Rejected by ASM","Area Sales Manager",1,"doc.reason_of_rejection"
"","","","","","","5646fb8f77","Resent for NSM Approval","National Sales Manager","0","","Resent for NSM Approval",0,"","","b32d75720b","Pending For Primary Customer Additional Details","Reject Customer","Rejected by RSM","Regional Sales Manager",1,"doc.reason_of_rejection"
"","","","","","","32921747f9","Pending for TOT Approval from Customer","Primary Customer Master Approver","0","","Pending for TOT Approval from Customer",0,"","","1182f639cd","Pending for NSM Approval","Approve Customer","Pending for TOT Approval from Customer","National Sales Manager",1,""
"","","","","","","e08ae812cc","Pending with Primary Master Processing","Primary Customer Master Approver","0","","Pending with Primary Master Processing",0,"","","1c9a382d7e","Pending for NSM Approval","Reject Customer","Rejected by NSM","National Sales Manager",1,"doc.reason_of_rejection"
"","","","","","","830a252f3f","Resent for Primary Master Processing","Primary Customer Master Approver","0","","Resent for Primary Master Processing",0,"","","d3c9ecb41b","Pending for NSM Approval","Request for More Details","Requested for More Details by NSM","National Sales Manager",1,""
"","","","","","","7279df5b59","Primary Customer Approved","Primary Customer Master Approver","0","","Primary Customer Approved",0,"","","a0ec7ea232","Requested for More Details by NSM","Resend for NSM Approval","Resent for NSM Approval","Area Sales Manager",1,"doc.owner == frappe.session.user  or doc.asm_user == frappe.session.user"
"","","","","","","a2bb1a3651","Rejected by ASM","Administrator","0","","Rejected by ASM",0,"","","6c6dcb4b46","Requested for More Details by NSM","Resend for NSM Approval","Resent for NSM Approval","Regional Sales Manager",1,""
"","","","","","","bf947f2481","Rejected by RSM","Administrator","0","","Rejected by RSM",0,"","","caa94424cf","Resent for NSM Approval","Approve Customer","Pending for TOT Approval from Customer","National Sales Manager",1,""
"","","","","","","e03b98590f","Rejected by NSM","Administrator","0","","Rejected by NSM",0,"","","845f06f8c9","Resent for NSM Approval","Reject Customer","Rejected by NSM","National Sales Manager",1,"doc.reason_of_rejection"
"","","","","","","f7402d6a21","TOT Rejected by Customer &nbsp;","Primary Customer Master Approver","0","","TOT Rejected by Customer",0,"","","467bf9c3b5","Resent for NSM Approval","Request for More Details","Requested for More Details by NSM","National Sales Manager",1,""
"","","","","","","a06d818fa4","Requested for More Details by NSM","Area Sales Manager","0","","Requested for More Details by RSM",0,"","","f9e432f64e","Pending for TOT Approval from Customer","TOT Approved by Customer","Pending with Primary Master Processing","Primary Customer Master Approver",1,"doc.attach_email"
"","","","","","","967c376a01","Requested for More Details by Primary Master Team","Area Sales Manager","0","","Requested for More Details by Primary Master Team",0,"","","4e78803545","Pending for TOT Approval from Customer","TOT Rejected by Customer","TOT Rejected by Customer &nbsp;","Primary Customer Master Approver",1,"doc.attach_email"
"","","","","","","","","","","","","","","","618e873a25","Pending with Primary Master Processing","Approve Customer","Primary Customer Approved","Primary Customer Master Approver",1,"doc.customer_id"
"","","","","","","","","","","","","","","","e88a54a831","Pending with Primary Master Processing","Request for More Details","Requested for More Details by Primary Master Team","Primary Customer Master Approver",1,""
"","","","","","","","","","","","","","","","c2973bb185","Requested for More Details by Primary Master Team","Resend for Primary Master Processing","Resent for Primary Master Processing","Area Sales Manager",1,"doc.owner == frappe.session.user  or doc.asm_user == frappe.session.user"
"","","","","","","","","","","","","","","","64be03359d","Requested for More Details by Primary Master Team","Resend for Primary Master Processing","Resent for Primary Master Processing","Regional Sales Manager",1,""
"","","","","","","","","","","","","","","","47909fc03c","Resent for Primary Master Processing","Approve Customer","Primary Customer Approved","Primary Customer Master Approver",1,"doc.customer_id"
